Date,ISM Manufacturing Index,Manufacturing New Orders,Manufacturing Production,Manufacturing Employment,Manufacturing Deliveries,Manufacturing Inventories,Manufacturing Customers' Inventories,Prices,Order Backlog,ISM Non-Manufacturing Index,Non-Manufacturing Business Activity,Non-Manufacturing New Orders,Non-Manufacturing Employment,Non-Manufacturing Deliveries,Non-Manufacturing Inventories,Non-Manufacturing Inventory Sentiment,Non-Manufacturing Order Backlog,Non-Manufacturing Prices
Jan-48,51.70,53.3,59.1,54.8,36.3,45.3,,72.2,,,,,,,,,,
Feb-48,50.20,51.1,55.2,55.8,37.1,43.9,,62.7,,,,,,,,,,
Mar-48,43.30,43.9,47.8,44,32.7,44.5,,69.3,,,,,,,,,,
Apr-48,45.40,44.5,49.5,43.9,41.6,46.1,,75.8,,,,,,,,,,
May-48,49.50,51.2,52.1,51.8,40.4,47,,70.8,,,,,,,,,,
Jun-48,53.00,58.1,56.8,50.8,38.4,54.7,,78.5,,,,,,,,,,
Jul-48,48.40,50.4,51.4,49.1,36.8,51.1,,77.3,,,,,,,,,,
Aug-48,45.10,46,51,46.1,31.2,46.6,,77,,,,,,,,,,
Sep-48,42.10,40.6,47.9,46.1,28.3,45.2,,66,,,,,,,,,,
Oct-48,47.20,52.1,52.7,47.5,28.7,45.4,,56.6,,,,,,,,,,
Nov-48,42.40,43.2,48.9,44,28,42.6,,51,,,,,,,,,,
Dec-48,35.00,34.5,42.1,39,17.7,37,,47.5,,,,,,,,,,
Jan-49,32.90,31.4,42,34.1,16.6,36.6,,39.6,,,,,,,,,,
Feb-49,31.30,34.2,39.6,28.3,13.1,34.9,,31.3,,,,,,,,,,
Mar-49,34.50,42.1,41.9,31.1,12.4,33.3,,31.8,,,,,,,,,,
Apr-49,35.50,42.3,44.1,31.6,16.2,27.9,,13.8,,,,,,,,,,
May-49,32.60,41.1,38.2,29,15.5,25.5,,20.1,,,,,,,,,,
Jun-49,31.60,39.8,38.4,27.2,15,24.1,,10.6,,,,,,,,,,
Jul-49,39.00,49.1,47,34.8,22.4,21.5,,28.8,,,,,,,,,,
Aug-49,47.00,55.7,58.5,40,33,26.8,,42.7,,,,,,,,,,
Sep-49,52.30,58,60.3,51.4,39.9,35.8,,47.5,,,,,,,,,,
Oct-49,51.00,58.9,54.5,43.7,46.1,40.6,,42.1,,,,,,,,,,
Nov-49,51.00,58.7,55.7,42.9,51.5,31.3,,51.1,,,,,,,,,,
Dec-49,57.30,53.1,63.3,52.6,52.2,41.7,,49.9,,,,,,,,,,
Jan-50,59.10,62.3,64.3,57.7,56.3,43.6,,62.4,,,,,,,,,,
Feb-50,60.50,62.5,66.7,51.1,68,46.4,,70.9,,,,,,,,,,
Mar-50,62.10,61.8,65.8,56.9,72,48.8,,77,,,,,,,,,,
Apr-50,68.10,71,74.8,63.4,68.8,50.6,,80.2,,,,,,,,,,
May-50,74.70,76.6,78.1,69.8,82.9,58.2,,98.2,,,,,,,,,,
Jun-50,76.60,82.6,79.1,71.9,76.5,62.1,,100,,,,,,,,,,
Jul-50,77.50,80.3,77.1,72.5,89.4,62.7,,90.7,,,,,,,,,,
Aug-50,75.80,77.1,78.7,72.3,81.7,62.3,,84.8,,,,,,,,,,
Sep-50,68.10,66.4,68.6,72.2,73.7,55.2,,84.4,,,,,,,,,,
Oct-50,59.20,49,62.9,65.6,70.3,50.6,,84.8,,,,,,,,,,
Nov-50,63.10,57.2,63.6,66.7,79.1,48.3,,85.1,,,,,,,,,,
Dec-50,67.10,67.7,62.5,65.1,87.5,49.7,,91.1,,,,,,,,,,
Jan-51,67.80,67.9,63,67.8,88.7,48,,85.1,,,,,,,,,,
Feb-51,69.30,70,61.4,73.7,93.3,42.1,,86.5,,,,,,,,,,
Mar-51,65.50,61,61.2,72,85.1,47.4,,76.6,,,,,,,,,,
Apr-51,53.50,42.3,53.5,61.9,65.7,51.8,,68.5,,,,,,,,,,
May-51,50.70,45.2,54.2,58.8,45,51.2,,63.6,,,,,,,,,,
Jun-51,45.50,39.1,48.6,56.4,36.7,48.4,,52.1,,,,,,,,,,
Jul-51,42.10,38.2,41.6,53.2,32.2,47.8,,46.4,,,,,,,,,,
Aug-51,43.60,38.5,48.4,51.7,32,46.7,,43.2,,,,,,,,,,
Sep-51,48.10,48.2,50.2,48.6,46.4,43.8,,45.7,,,,,,,,,,
Oct-51,49.60,51.7,50.3,51.1,47.2,42,,54.4,,,,,,,,,,
Nov-51,47.20,49.3,50.9,50.2,34.9,44.5,,55.6,,,,,,,,,,
Dec-51,46.50,45.3,52.8,51.8,33.6,42.6,,56.6,,,,,,,,,,
Jan-52,44.70,46.8,49.5,46.9,31.3,42.5,,51.8,,,,,,,,,,
Feb-52,41.80,42.3,49.9,44.8,24.9,39.3,,52.7,,,,,,,,,,
Mar-52,40.00,43.7,48.7,41.8,18.8,35.6,,44.7,,,,,,,,,,
Apr-52,36.70,35.8,43.5,43.3,19.4,35.4,,42.6,,,,,,,,,,
May-52,39.50,43.9,45.7,42.7,22.4,30.3,,38.8,,,,,,,,,,
Jun-52,43.30,46.3,49.5,43.5,33,33.8,,40.4,,,,,,,,,,
Jul-52,48.30,69.4,37.2,39.5,47.4,31.6,,60.1,,,,,,,,,,
Aug-52,60.40,58.5,84,63.1,41.2,30.5,,54.7,,,,,,,,,,
Sep-52,56.10,60.3,66,56.2,42.7,38.6,,57.9,,,,,,,,,,
Oct-52,56.20,59.9,65.3,57.8,43.3,38.2,,54.1,,,,,,,,,,
Nov-52,56.80,58.8,65,60.9,45,39.9,,49.7,,,,,,,,,,
Dec-52,55.80,60.4,64.3,55.6,43.5,40,,48.2,,,,,,,,,,
Jan-53,59.40,64.6,69.8,61.5,41.5,40.9,,45.1,,,,,,,,,,
Feb-53,55.40,56,62.4,61.7,41.8,44.3,,54.5,,,,,,,,,,
Mar-53,50.50,47.2,54,59.4,41.8,46.4,,73.3,,,,,,,,,,
Apr-53,51.10,52,57.3,55,38.6,43.8,,69.3,,,,,,,,,,
May-53,48.90,49.3,57.1,52.3,35.1,41.2,,72.3,,,,,,,,,,
Jun-53,48.50,48.3,55.2,53.8,33.3,44.6,,69.7,,,,,,,,,,
Jul-53,46.30,44.2,53.1,54.4,28.5,45.6,,62,,,,,,,,,,
Aug-53,43.50,42.1,50.7,48.1,26.5,46.2,,55.8,,,,,,,,,,
Sep-53,40.20,39.9,46.8,43.8,23.2,43.3,,43.8,,,,,,,,,,
Oct-53,37.40,38,44.6,37.9,20.7,41.3,,45.1,,,,,,,,,,
Nov-53,36.90,40.9,43.4,35.8,20.2,35.5,,47,,,,,,,,,,
Dec-53,35.60,37.5,41.3,36.6,21.8,34.2,,47.7,,,,,,,,,,
Jan-54,37.40,42.9,45,31.5,23.6,34.2,,40.5,,,,,,,,,,
